file, solution, objective
transoptas_5pso_correlation_p50_seed20_t600_redumis.out, [ ... ], 2896
transoptas_5pso_correlation_p50_seed30_t600_redumis.out, [ ... ], 2896
transoptas_5pso_correlation_p50_seed40_t600_redumis.out, [ ... ], 2896
transoptas_5pso_correlation_p50_seed50_t600_redumis.out, [ ... ], 2896
transoptas_5pso_correlation_p80_seed20_t600_redumis.out, [ ... ], 5425
transoptas_5pso_correlation_p80_seed30_t600_redumis.out, [ ... ], 5425
transoptas_5pso_correlation_p80_seed40_t600_redumis.out, [ ... ], 5425
transoptas_5pso_correlation_p80_seed50_t600_redumis.out, [ ... ], 5425
transoptas_5pso_correlation_p90_seed20_t600_redumis.out, [ ... ], 6416
transoptas_5pso_correlation_p90_seed30_t600_redumis.out, [ ... ], 6416
transoptas_5pso_correlation_p90_seed40_t600_redumis.out, [ ... ], 6416
transoptas_5pso_correlation_p90_seed50_t600_redumis.out, [ ... ], 6416
transoptas_5pso_correlation_p95_seed20_t600_redumis.out, [ ... ], 7073
transoptas_5pso_correlation_p95_seed30_t600_redumis.out, [ ... ], 7073
transoptas_5pso_correlation_p95_seed40_t600_redumis.out, [ ... ], 7073
transoptas_5pso_correlation_p95_seed50_t600_redumis.out, [ ... ], 7073
transoptas_5pso_cosine_p10_seed30_t600_redumis.out, [ ... ], 498
transoptas_5pso_cosine_p10_seed40_t600_redumis.out, [ ... ], 498
transoptas_5pso_cosine_p10_seed50_t600_redumis.out, [ ... ], 498
transoptas_5pso_cosine_p20_seed30_t600_redumis.out, [ ... ], 974
transoptas_5pso_cosine_p50_seed20_t600_redumis.out, [ ... ], 2891
transoptas_5pso_cosine_p50_seed30_t600_redumis.out, [ ... ], 2891
transoptas_5pso_cosine_p50_seed40_t600_redumis.out, [ ... ], 2891
transoptas_5pso_cosine_p50_seed50_t600_redumis.out, [ ... ], 2891
transoptas_5pso_cosine_p80_seed20_t600_redumis.out, [ ... ], 5425
transoptas_5pso_cosine_p80_seed30_t600_redumis.out, [ ... ], 5425
transoptas_5pso_cosine_p80_seed40_t600_redumis.out, [ ... ], 5425
transoptas_5pso_cosine_p80_seed50_t600_redumis.out, [ ... ], 5425
transoptas_5pso_cosine_p90_seed20_t600_redumis.out, [ ... ], 6415
transoptas_5pso_cosine_p90_seed30_t600_redumis.out, [ ... ], 6415
transoptas_5pso_cosine_p90_seed40_t600_redumis.out, [ ... ], 6415
